LASTNAME,FIRSTNAME,TITLE
HOLLOWAY,SARAH,CUST SERVICE REP.
PETTIES,ROGER,CUSTOMER SERVICE REPRESENTATIVE
DELGADO,ESTHER,SHIFT LEAD
ELLIOTT,JOANN,REGION MANAGER
OWENS,BENJAMIN,ASSISTANT
TSAI,JAMES,REGIONAL MANAGER
ATKINS,RANDY,STORE MGR.
AVERA,DANIELLE,CUSTOMER SERVICE REP
CAMARA,IGNACIO,CUSTOMER SERVICE REPRESENTATIVE
GREEN,JANET,STORE MANAGER
CREECH,JOEANN,DISTRICT MANAGER
PHILLIPS,AARON,ASSIST. MANAGER
ATTAWAY,ROBERTA,CUTSOMER SERIVCE REPRESENTATIVE
SIMMONS,ESTHER,SHIFT LEADER
TORRENCE,DAVE,REGIONAL MANAGER
ESTRELLA,BRIAN,STORE MANAGER
WISE,ELIZABETH,DISTRICT MGR.
CONNER,JIM,REGIONAL MGR
FELD,MARK,SHIFT LEADER
BAILEY,RAYMOND,CUSTOMER SERIVCE REP
YOUNG,HELEN,ASSISTANT MANAGER
CHIVERS,RONALD,DISTRICT MANAGER
